Category,Provider,Logo Link,Availability / Tech Note,Setup Fee,NBN 25 (promo/ongoing),NBN 50 (promo/ongoing),NBN 100 (promo/ongoing),NBN 500 (promo/ongoing),NBN 1000 (promo/ongoing),Other Charges / Notes
NBN,Telsim,View Logo,All tech; new low-cost entrant,$0,$39.90 (1st month) → $62.90,~$70+ ongoing,~$90+ ongoing,N/A,N/A,Extremely cheap first month; good for budget starters
NBN,Flip,View Logo,All tech,$0,$44/6m → $59.90,~$55/6m → $70,N/A,N/A,N/A,Often the outright cheapest NBN 25; reliable low-tier
NBN,Arctel,View Logo,All tech,$0,$43.90/6m → $63.99,~$60/6m → $80,N/A,N/A,N/A,Top budget NBN 25; code CLFINDER for extra
NBN,Tangerine Telecom,View Logo,All tech,$0,$44.90/6m → $69.90,$60/6m → $80,$65/6m → $88.90,$63.90/6m → $88.90,~$95/6m → $115,Deep intro discounts across tiers
NBN,Dodo,View Logo,All tech; strongest on FTTP/HFC,$0,$51.99/12m → $71.99,$65.99/12m → $85.99,$72.99/12m → $92.99,$72.99/12m → $92.99,$89.99/12m → $109.99,Longest promos; frequently cheapest overall
NBN,MATE,View Logo,All tech; Aussie support,$0,~$51/6m → $76,~$65/6m → $85,~$71/6m → $96,~$85/6m → $110,~$141/6m → $166 (NBN 2000),Competitive on high-speed tiers; often cheapest NBN 2000
NBN,More Telecom,View Logo,All tech; CommBank Yello discounts,$0,~$63/36m (Yello) → $68,~$78/36m → ongoing,~$85/36m → ongoing,~$100/36m → ongoing,~$129/36m → ongoing,Longest discounts with CommBank; excellent ongoing value
NBN,TPG,View Logo,All tech,$0,~$44.99/6m → $59.99,$64.99/6m → $84.99,~$64.99/6m → $94.99,$64.99/6m → $94.99,$89.99/6m → $109.99,Price-beat guarantee; great value
NBN,Optus,View Logo,All tech,$0,$59/12m → $79,$75/12m → $95,~$79/12m → $99,$79/12m → $99,~$99/12m → $129,Good mobile bundles
NBN,iiNet,View Logo,All tech,$0,~$60/6m → $80,~$65/6m → $85,~$64.99/6m → $94.99,$64.99/6m → $94.99,~$89.99/6m → $109.99,Wi-Fi 7 modem on long stays
NBN,Kogan Internet,View Logo,All tech,$0,~$45/6m → $65,~$60/6m → $80,~$65/6m → $85,~$70/6m → $90,~$95/6m → $115,Strong first-year deals
NBN,Origin Energy,View Logo,All tech,$0,~$44.50/6m → $89 (bundle better),$51.50/6m → $103,$53.50/6m → $107,$53.50/6m → $107,N/A,Huge bundle savings with energy
NBN,SpinTel,View Logo,All tech,$0,~$50/6m → $70,~$65/6m → $85,~$70/6m → $90,~$70/6m → $90,~$100/6m → $120,Frequent bundles
NBN,Exetel,View Logo,All tech,$0,N/A,~$70–$80 ongoing,~$75–$85 ongoing,$80 ongoing,~$110–$120 ongoing,Very stable ongoing pricing
NBN,Southern Phone,View Logo,All tech; regional focus,$0,N/A,~$70/6m → $85,~$75/6m → $90,$79/6m → $89,N/A,Top customer satisfaction
NBN,Buddy Telco,View Logo,All tech,$0,N/A,N/A,~$70 ongoing,$85 ongoing,N/A,Budget high-speed
NBN,Swoop,View Logo,All tech,$0,N/A,N/A,~$70/6m → $90,~$85/6m → $105,$85/6m → $109,Strong gigabit plans
NBN,Aussie Broadband,View Logo,All tech; premium support,$0,~$69/6m → $79,$83/6m → $93,$80/6m → $95,~$95–$105 ongoing,~$120–$129 ongoing,Best speeds in peak hours
NBN,Belong,View Logo,All tech,$0,N/A,~$60/6m → $85,$65/6m → $95,~$85–$95 ongoing,N/A,Simple Telstra-owned plans
NBN,Superloop,View Logo,All tech,$0,~$59/6m → $79,~$69/6m → $89,$69/6m → $95,$69/6m → $95,~$145/6m → $165,Free eero on high plans
NBN,Telstra,View Logo,All tech,$0–$200,~$80+ limited promo,~$85–$95 ongoing,~$95–$105 ongoing,~$105–$115 ongoing,~$120–$140 ongoing,Smart Modem; highest reliability
NBN,Activ8me,View Logo,Strong on Fixed Wireless/regional,$0,~$70+ ongoing,~$80+ ongoing,~$90+ ongoing,Limited,Limited,Good rural coverage
NBN,Launtel,View Logo,All tech,$0,~$50/6m → $70,~$65/6m → $85,~$70/6m → $90,~$75/6m → $95,~$110/6m → $130,Transparent pricing
Mobile,Telstra,View Logo,Telstra (full),Best rural/regional; 99.7% pop,$0 online,$80/mo → 180GB; unlimited calls/SMS; limited intl calls/SMS; throttled to 1.5Mbps excess,Data sharing option; higher premium plans,,,
Mobile,Boost Mobile,View Logo,Telstra (full),Same as full Telstra,$0,"$30–$50/mo range (prepaid often); e.g., 50GB+ with intl roaming options",Prepaid focus; strong for travel,,,
Mobile,ALDI Mobile,View Logo,Telstra wholesale,98.8% pop,$0,"~$15–$35/mo; e.g., 30–80GB rollover plans; unlimited calls/SMS",Data rollover; grocery tie-ins,,,
Mobile,Belong,View Logo,Telstra wholesale,98.8% pop,$0,$35/mo → 40GB; unlimited calls/SMS; data banking,Telstra-owned; simple plans,,,
Mobile,Everyday Mobile (Woolworths),View Logo,Telstra wholesale,98.8% pop,$0,"$25–$45/mo; e.g., 30–60GB; rewards with Woolworths shopping",Prepaid options,,,
Mobile,Exetel,View Logo,Telstra wholesale,98.8% pop,$0,"$20–$40/mo; competitive data (e.g., 50GB+)",Broadband bundle options,,,
Mobile,More,View Logo,Telstra wholesale,98.8% pop,$0,"$20–$50/mo; e.g., 40–100GB; data banking",eSIM companion features,,,
Mobile,Superloop,View Logo,Telstra wholesale,98.8% pop,$0,$25–$45/mo; good data allowances,NBN ties,,,
Mobile,Tangerine Telecom,View Logo,Telstra wholesale,98.8% pop,$0,$15/4mo then $30 → 30GB; $24/4mo then $48 → 100GB; data banking up to 1000GB,Frequent promos,,,
Mobile,Optus,View Logo,Optus (full),Strong urban; 98.5% pop,$0,$65/mo → 200GB; unlimited intl to 35 dest.; throttled 1.5Mbps,Premium features,,,
