"category,id,providerName,planName,price,priceUnit,description,keyFeatures,logoUrl,providerColor,directUrl,rating,isSponsored,isGreen"
"5g broadband,aus_tpg_5gpremium,TPG,5G Premium,44.99,/mo,$20/mo off for 6 months,Unlimited data|100/17 Mbps evening|5G Alternative to NBN,https://www.tpg.com.au/logo.png,#4200B3,https://www.tpg.com.au/nbn,4.0,FALSE,FALSE"
"5g broadband,aus_tpg_5gplus,TPG,5G Plus,39.99,/mo,$20/mo off for 6 months,Unlimited data|50/16 Mbps evening|5G Alternative to NBN,https://www.tpg.com.au/logo.png,#4200B3,https://www.tpg.com.au/nbn,4.0,FALSE,FALSE"
"5g broadband,aus_tpg_homewireless,TPG,Home Wireless Broadband,44.99,/mo,$10/mo off for 6 months,Unlimited data|15/1.9 Mbps evening|4G Alternative to NBN,https://www.tpg.com.au/logo.png,#4200B3,https://www.tpg.com.au/nbn,4.0,FALSE,FALSE"
"5g broadband,aus_telstra_5g,Telstra,5G Internet,85,/mo,1000GB data,300/30 Mbps busy|Range 30-570/4-70 Mbps,https://www.telstra.com.au/logo.png,#007BC2,https://www.telstra.com.au/internet/nbn,4.0,FALSE,FALSE"
"5g broadband,aus_iinet_5gplus,iiNet,5G Plus,39.99,/mo,$20/mo off for 6 months,Unlimited data|50/16 Mbps evening max 50/20|5G Alternative to NBN,https://www.iinet.net.au/logo.png,#4200B3,https://www.iinet.net.au/nbn,1.3,FALSE,FALSE"
"5g broadband,aus_iinet_5gpremium,iiNet,5G Premium,49.99,/mo,$20/mo off for 6 months,Unlimited data|100/17 Mbps evening max 100/20|5G Alternative to NBN,https://www.iinet.net.au/logo.png,#4200B3,https://www.iinet.net.au/nbn,1.3,FALSE,FALSE"
"5g broadband,aus_iinet_homewireless,iiNet,Home Wireless,49.99,/mo,$10/mo off for 6 months,Unlimited data|15/1.9 Mbps evening max 20/2|4G Alternative to NBN,https://www.iinet.net.au/logo.png,#4200B3,https://www.iinet.net.au/nbn,1.3,FALSE,FALSE"
"electricity,nsw_agl_smartsaver,AGL,AGL Smart Saver,129,/mo,Great for families with no lock-in,16% less than Reference Price|Up to $200 credits|No lock-in|Variable rates|Solar feed-in 4c/kWh|Netflix value $120/yr|Daily supply: 100c|Usage: 30c/kWh,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,FALSE"
"electricity,nsw_agl_netflix,AGL,AGL Netflix Plan + AGL Smart Saver Gas,131,/mo,Includes Netflix with no lock-in,14% less than Reference Price|Up to $200 credits|No lock-in|Variable rates|Solar feed-in 4c/kWh|Netflix included|Daily supply: 100c|Usage: 30c/kWh,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,FALSE"
"electricity,nsw_agl_solarsavers,AGL,AGL Solar Savers + AGL Smart Saver Gas,142,/mo,Higher solar feed-in with no lock-in,8% less than Reference Price|Up to $200 credits|No lock-in|Variable rates|Solar feed-in up to 8c/kWh|Daily supply: 100c|Usage: 30c/kWh,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,TRUE"
"electricity,nsw_energyaus_flexi,EnergyAustralia,Flexi Plan,1651,/yr,Variable rates with no lock-in,16% electricity|23% gas|Variable rates|Solar buy back 4c/kWh|Daily supply: 95c|Usage: 35c/kWh,https://www.energyaustralia.com.au/logo.png,#00A651,https://www.energyaustralia.com.au/plans,4.3,FALSE,FALSE"
"electricity,nsw_energyaus_solarmax,EnergyAustralia,Solar Max & Flexi Plan,1965,/yr,Higher feed-in tariff,23% gas|Variable rates|Solar buy back up to 8c/kWh|Daily supply: 95c|Usage: 35c/kWh,https://www.energyaustralia.com.au/logo.png,#00A651,https://www.energyaustralia.com.au/plans,4.3,FALSE,TRUE"
"electricity,nsw_energyaus_ratefix,EnergyAustralia,Rate Fix,1808,/yr,Secure rates for 12 months,8% electricity|12% gas|Fixed rates|Solar buy back 4c/kWh|Daily supply: 95c|Usage: 35c/kWh,https://www.energyaustralia.com.au/logo.png,#00A651,https://www.energyaustralia.com.au/plans,4.3,FALSE,FALSE"
"electricity,nsw_energyaus_standing,EnergyAustralia,Standing Offer Home,1965,/yr,Standing offer prices,Variable rates|Solar buy back 4c/kWh|Daily supply: 95c|Usage: 35c/kWh,https://www.energyaustralia.com.au/logo.png,#00A651,https://www.energyaustralia.com.au/plans,4.3,FALSE,FALSE"
